Run ID,Name,Status,Steps Completed,AI Credits,Created At,Last Updated,Test Run
cmrnl8ra3kf6b0qm4303kdncz,PHOTO-2026-07-16-16-09-50.jpg,COMPLETED,3,10.623,2026-07-16T14:12:15.763Z,2026-07-16T14:13:10.152Z,false
cmrndvl8igihu0pkq07ux0oyx,PHOTO-2026-07-16-12-32-05.jpg,COMPLETED,3,26.578,2026-07-16T10:46:04.096Z,2026-07-16T10:47:09.943Z,false
cmrndvle2giic0pkq8xsl5ea7,PHOTO-2026-07-16-12-32-05.jpg,COMPLETED,3,14.308,2026-07-16T10:46:04.297Z,2026-07-16T10:47:09.727Z,false
cmrndvlbdgii30pkqcgc5ha01,PHOTO-2026-07-16-12-32-28.jpg,COMPLETED,3,13.288,2026-07-16T10:46:04.199Z,2026-07-16T10:47:09.750Z,false
cmrndvl2bgih70pkq8ova1pc6,PHOTO-2026-07-16-12-32-23.jpg,COMPLETED,3,11.638,2026-07-16T10:46:03.874Z,2026-07-16T10:46:11.910Z,false
cmrndtdb3hgpf0pkm2wzed4a0,transferencia felpudo.pdf,COMPLETED,3,12.458,2026-07-16T10:44:20.507Z,2026-07-16T10:45:14.524Z,false
cmrm8op1eeoht0pm02ssn3cw9,PHOTO-2026-07-15-17-27-16.jpg,COMPLETED,3,14.658,2026-07-15T15:32:58.160Z,2026-07-15T15:34:05.418Z,false
cmrettajabgpi0rj78oi07hi0,PHOTO-2026-07-10-12-59-02.jpg,COMPLETED,3,9.973,2026-07-10T11:02:15.188Z,2026-07-10T11:03:13.658Z,false
cmretta9ybgov0rj76apx3o5g,PHOTO-2026-07-10-12-59-02.jpg,COMPLETED,3,12.283,2026-07-10T11:02:14.849Z,2026-07-10T11:02:23.517Z,false
cmretaqr8b8gp0rj727ys0lx9,PHOTO-2026-07-10-12-46-21.jpg,COMPLETED,3,10.963,2026-07-10T10:47:49.746Z,2026-07-10T10:49:00.217Z,false
cmretaqtqb8gy0rj7bhz201cj,PHOTO-2026-07-10-12-45-49.jpg,COMPLETED,3,14.428,2026-07-10T10:47:49.837Z,2026-07-10T10:48:59.767Z,false
cmretaqk9b8g80rj75w2zgf0b,PHOTO-2026-07-10-12-45-30.jpg,COMPLETED,3,13.983,2026-07-10T10:47:49.495Z,2026-07-10T10:47:58.688Z,false
cmretaqfpb8fz0rj7dmso56hd,PHOTO-2026-07-10-12-46-10.jpg,COMPLETED,3,10.633,2026-07-10T10:47:49.330Z,2026-07-10T10:47:58.693Z,false
cmrdls8689rfm0plwc1q624eo,PHOTO-2026-07-09-16-28-51.jpg,COMPLETED,3,20.173,2026-07-09T14:29:42.364Z,2026-07-09T14:30:37.297Z,false
cmrdalihc5dhx0rlwbbkjh2uo,PHOTO-2026-07-09-11-14-28.jpg,COMPLETED,3,8.955,2026-07-09T09:16:33.360Z,2026-07-09T09:17:40.892Z,false
cmrdaj6uh4dgy0qm4al17692m,PHOTO-2026-07-09-11-00-53.jpg,COMPLETED,3,11.188,2026-07-09T09:14:44.968Z,2026-07-09T09:15:37.319Z,false
cmrc0804c7m220qm0b17e5a1m,PHOTO-2026-07-08-13-37-46.jpg,COMPLETED,3,11.073,2026-07-08T11:38:20.697Z,2026-07-08T11:39:11.062Z,false
cmrbxl8x16c620qm362asdagp,PHOTO-2026-07-08-12-23-50.jpg,COMPLETED,3,12.928,2026-07-08T10:24:39.776Z,2026-07-08T10:25:31.193Z,false
cmr3dnp49bmk50qm56wpd7cg6,fichero.pdf,COMPLETED,3,9.555,2026-07-02T10:44:32.356Z,2026-07-02T10:45:28.623Z,false
cmr3dnozcbmjo0qm57dxw8hsh,fichero (1).pdf,COMPLETED,3,12.41,2026-07-02T10:44:32.183Z,2026-07-02T10:44:42.389Z,false
cmr3dnounbmje0qm5d08j4r3k,fichero (2).pdf,COMPLETED,3,10.37,2026-07-02T10:44:32.014Z,2026-07-02T10:44:42.412Z,false
cmqzh7l3bi57l0pm1dgx37pp5,TiquePedido Cliente Nº  354757.pdf,COMPLETED,3,8.065,2026-06-29T17:12:54.403Z,2026-06-29T17:14:07.533Z,false
cmqz16hei2uih0qkt3nqk767p,PHOTO-2026-06-29-11-38-50.jpg,COMPLETED,3,10.813,2026-06-29T09:44:09.113Z,2026-06-29T09:45:07.181Z,false
cmqz16hhq2uiq0qkt78qe06kc,PHOTO-2026-06-29-11-38-50.jpg,COMPLETED,3,12.178,2026-06-29T09:44:09.229Z,2026-06-29T09:45:07.208Z,false
cmqz14o0i4m1d0qkr1hqx4zx0,PHOTO-2026-06-29-11-38-49.jpg,COMPLETED,3,10.498,2026-06-29T09:42:44.366Z,2026-06-29T09:43:35.816Z,false
cmqt84hwq151v0qm5dd0z8ihu,TiquePedido Cliente Nº  360475.pdf,COMPLETED,0,7.05,2026-06-25T08:11:56.716Z,2026-06-25T08:12:54.756Z,true
cmqt7ev9b13uc0qm5hpv7d422,TiquePedido Cliente Nº  360475.pdf,COMPLETED,0,7.05,2026-06-25T07:52:00.960Z,2026-06-25T07:52:28.594Z,true
cmqt78vp213h80qm57czo5mws,TiquePedido Cliente Nº  360475.pdf,COMPLETED,0,7.05,2026-06-25T07:47:21.592Z,2026-06-25T07:48:23.595Z,true
cmqt6xpk811490pkpa22yf6wp,TiquePedido Cliente Nº  360475.pdf,COMPLETED,0,7.05,2026-06-25T07:38:40.426Z,2026-06-25T07:39:28.748Z,true
cmqs59uve0bat0rlu2ltq8758,comprobante.pdf,COMPLETED,2,8.148,2026-06-24T14:04:21.767Z,2026-06-24T14:05:10.265Z,false
cmqs50p9e04wc0rluhpflc5pf,document.pdf,COMPLETED,2,8.098,2026-06-24T13:57:14.593Z,2026-06-24T13:58:02.649Z,false
cmqs4ysli06jv0pm55r3mb40z,document.pdf,COMPLETED,2,7.228,2026-06-24T13:55:45.602Z,2026-06-24T13:56:32.822Z,false
cmqs4w3mf02pw0rludrbodpdt,Detalle de la operación realizada.pdf,COMPLETED,2,11.745,2026-06-24T13:53:39.921Z,2026-06-24T13:54:31.900Z,false
cmqs4q14q23tg0qmba71hfumw,TiquePedido Cliente Nº  360475.pdf,COMPLETED,0,7.05,2026-06-24T13:48:56.763Z,2026-06-24T13:50:30.415Z,true
